year,month,quote
2017,January,"David Bowie n’avait pas les yeux vairons, mais souffrait d’une mydriase permanente à l’œil gauche.
présente 3 jours en page d'accueil du 12 janvier 2017 à 00:02:08 au 15 janvier 2017 à 00:01:49"
2017,January,"Échelle centigrade originale.Dans l’échelle définie par Celsius en 1742 (schéma), le zéro correspondait au point d’ébullition de l’eau et 100 degrés à son point de congélation.
présente 3 jours en page d'accueil du 13 janvier 2017 à 00:02:06 au 16 janvier 2017 à 00:02:13"
2017,January,"Les dialogues du film Yes de Sally Potter (2004) sont entièrement écrits en pentamètres iambiques.
présente 3 jours en page d'accueil du 13 janvier 2017 à 00:02:06 au 16 janvier 2017 à 00:02:13"
2017,January,"Image satellitaire de la Plaine du Pô.La Ligue du Nord, parti régionaliste et ethno-nationaliste italien, se réfère à la Padanie (carte), entité géographique sans précédent historique.
présente 3 jours en page d'accueil du 14 janvier 2017 à 00:01:57 au 17 janvier 2017 à 00:01:52"
2017,January,"L’agriculture occupait plus de 37 % de la surface des terres émergées dans le monde en 2013.
présente 3 jours en page d'accueil du 14 janvier 2017 à 00:01:57 au 17 janvier 2017 à 00:01:52"
2017,January,"Logo de l’Initiative de défense stratégique.George Lucas a perdu deux procès en cherchant à interdire l’utilisation de l’expression Star Wars dans la promotion de l’Initiative de défense stratégique (logo).
présente 3 jours en page d'accueil du 15 janvier 2017 à 00:01:49 au 18 janvier 2017 à 00:02:03"
2017,January,"Les pays de la Généralité sont une région historique des Pays-Bas.
présente 3 jours en page d'accueil du 15 janvier 2017 à 00:01:49 au 18 janvier 2017 à 00:02:03"
2017,January,"HB-IWF, l’avion impliqué dans l’accident, vu à l’aéroport de Zurich, deux mois avant la catastrophe.500 millions de dollars de diamants et une toile de Picasso ont également disparu dans le crash du vol 111 Swissair (photo).
présente 3 jours en page d'accueil du 16 janvier 2017 à 00:02:13 au 19 janvier 2017 à 00:02:39"
2017,January,"Fordlândia, une ville créée au Brésil par Henry Ford dans le but exclusif de produire du caoutchouc, est aujourd’hui une ville fantôme.
présente 3 jours en page d'accueil du 16 janvier 2017 à 00:02:13 au 19 janvier 2017 à 00:02:39"
2017,January,"Kurt Gödel en 1925.Lors de sa procédure de naturalisation, le logicien Kurt Gödel (portrait) a confié avoir trouvé dans la constitution des États-Unis une contradiction permettant de transformer en toute légalité le pays en dictature.
présente 3 jours en page d'accueil du 17 janvier 2017 à 00:01:52 au 20 janvier 2017 à 00:02:20"
2017,January,"Utilisé pendant la Première Guerre mondiale, l’elektron permettait de fabriquer des bombes incendiaires capables de faire fondre les plaques de blindage.
présente 3 jours en page d'accueil du 17 janvier 2017 à 00:01:52 au 20 janvier 2017 à 00:02:20"
2017,January,"Commémoration du 25 avril 1976 à Porto, en 1983.40 ans après la révolution des Œillets (commémoration), le préambule de la constitution portugaise proclame toujours la volonté d’« ouvrir la voie vers une société socialiste ».
présente 3 jours en page d'accueil du 18 janvier 2017 à 00:02:03 au 21 janvier 2017 à 00:01:57"
2017,January,"Toyota était à l’origine une usine de textiles.
présente 3 jours en page d'accueil du 18 janvier 2017 à 00:02:03 au 21 janvier 2017 à 00:01:57"
2017,January,"Adopté pour la première fois par la fédération de Paris du Parti socialiste au début des années 1970, l’emblème de la rose au poing a été repris par l’Internationale socialiste (logo) en 1979.
présente 3 jours en page d'accueil du 19 janvier 2017 à 00:02:39 au 22 janvier 2017 à 00:01:52"
2017,January,"Louis XVI est le grand-oncle par alliance de Napoléon Ier.
présente 3 jours en page d'accueil du 19 janvier 2017 à 00:02:39 au 22 janvier 2017 à 00:01:52"
2017,January,"John Quincy Adams en 1843 (première photographie d'un président américain).Certains présidents des États-Unis, comme John Quincy Adams (photo), Theodore Roosevelt ou Lyndon B. Johnson, n’ont pas prêté serment sur la Bible.
présente 3 jours en page d'accueil du 20 janvier 2017 à 00:02:20 au 23 janvier 2017 à 00:02:23"
2017,January,"L’épisode Les Simpson dans 30 ans, diffusé en 2000, relate l’élection de Lisa Simpson comme présidente des États-Unis en 2030, après un bilan catastrophique de Donald Trump.
présente 3 jours en page d'accueil du 20 janvier 2017 à 00:02:20 au 23 janvier 2017 à 00:02:23"
2017,January,"George Harrison pendant une conférence de presse à Schiphol, peu après l’arrivée des Beatles aux Pays-Bas.I’m Happy Just to Dance with You et Do You Want to Know a Secret sont les seules chansons signées Lennon/McCartney et interprétées par George Harrison (photo).
présente 3 jours en page d'accueil du 21 janvier 2017 à 00:01:57 au 24 janvier 2017 à 00:01:54"
2017,January,"Le réalisateur Francis Girod a adapté au cinéma un roman de Françoise Giroud.
présente 3 jours en page d'accueil du 21 janvier 2017 à 00:01:57 au 24 janvier 2017 à 00:01:54"
2017,January,"Vespasienne à Düsseldorf.La vespasienne (photo) doit son nom à l’empereur romain Vespasien, qui est à l’origine d’un impôt spécial sur la collecte de l’urine, utilisée par les teinturiers.
présente 3 jours en page d'accueil du 22 janvier 2017 à 00:01:52 au 25 janvier 2017 à 00:01:56"
2017,January,"La Voie lactée est gauchie.
présente 3 jours en page d'accueil du 22 janvier 2017 à 00:01:52 au 25 janvier 2017 à 00:01:56"
2017,January,"Triboulet sur une gravure du XIXe siècle.François Ier condamna Triboulet (gravure) à mourir de vieillesse.
présente 3 jours en page d'accueil du 23 janvier 2017 à 00:02:23 au 26 janvier 2017 à 00:02:14"
2017,January,"Le Cobra royal se nourrit presque exclusivement d’autres serpents.
présente 3 jours en page d'accueil du 23 janvier 2017 à 00:02:23 au 26 janvier 2017 à 00:02:14"
2017,January,"Démineurs sur les lieux de l’accident du B-52.En 1961, une ogive thermonucléaire de 2,4 mégatonnes éjectée par un B-52 en perdition (photo) a entamé sa procédure de détonation au-dessus de la Caroline du Nord.
présente 3 jours en page d'accueil du 24 janvier 2017 à 00:01:54 au 27 janvier 2017 à 00:02:02"
2017,January,"Un couple de Suédois a voulu prénommer son enfant Brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116.
présente 3 jours en page d'accueil du 24 janvier 2017 à 00:01:54 au 27 janvier 2017 à 00:02:02"
